Ticker,Strategy,Signal,Price,Action,Timestamp,Exit_Reason
TSLA,Logistic Regression,1.0,422.24,BUY,2026-05-18 22:00:35,
AAPL,EMA Crossover,1.0,300.23,BUY,2026-05-18 22:00:35,
JPM,SMA Crossover,1.0,297.81,BUY,2026-05-18 22:00:35,
IBM,Random Forest,1.0,219.3,BUY,2026-05-18 22:00:35,
NVDA,EMA Crossover,1.0,222.32,BUY,2026-05-19 22:13:00,
TSLA,Logistic Regression,1.0,409.99,BUY,2026-05-19 22:13:00,
AAPL,Random Forest,0.0,297.84,SELL/HOLD,2026-05-19 22:13:00,
JPM,SMA Crossover,1.0,300.73,BUY,2026-05-19 22:13:00,
IBM,Random Forest,1.0,222.75,BUY,2026-05-19 22:13:00,
NVDA,EMA Crossover,1.0,220.61,BUY,2026-05-20 22:22:53,
TSLA,Logistic Regression,1.0,404.11,BUY,2026-05-20 22:22:53,
AAPL,EMA Crossover,1.0,298.97,BUY,2026-05-20 22:22:53,
JPM,SMA Crossover,1.0,295.7,BUY,2026-05-20 22:22:53,
IBM,Random Forest,1.0,222.33,BUY,2026-05-20 22:22:53,
NVDA,EMA Crossover,1.0,223.47,BUY,2026-05-21 22:17:20,
TSLA,Logistic Regression,0.0,417.26,SELL/HOLD,2026-05-21 22:17:20,
AAPL,EMA Crossover,1.0,302.25,BUY,2026-05-21 22:17:20,
JPM,SMA Crossover,1.0,301.98,BUY,2026-05-21 22:17:20,
IBM,Random Forest,1.0,225.0,BUY,2026-05-21 22:17:20,
NVDA,EMA Crossover,1.0,219.51,BUY,2026-05-22 22:05:26,
TSLA,Logistic Regression,0.0,417.85,SELL/HOLD,2026-05-22 22:05:26,
AAPL,EMA Crossover,1.0,304.99,BUY,2026-05-22 22:05:26,
JPM,SMA Crossover,1.0,303.0,BUY,2026-05-22 22:05:26,
IBM,Random Forest,0.0,252.97,SELL/HOLD,2026-05-22 22:05:26,
NVDA,EMA Crossover,1.0,215.33,BUY,2026-05-24 22:53:10,
TSLA,Logistic Regression,0.0,426.01,SELL/HOLD,2026-05-24 22:53:10,
AAPL,EMA Crossover,1.0,308.82,BUY,2026-05-24 22:53:10,
JPM,SMA Crossover,1.0,306.38,BUY,2026-05-24 22:53:10,
IBM,Random Forest,0.0,253.84,SELL/HOLD,2026-05-24 22:53:10,
NVDA,EMA Crossover,1.0,215.33,BUY,2026-05-25 22:04:44,
TSLA,Logistic Regression,0.0,426.01,SELL/HOLD,2026-05-25 22:04:44,
AAPL,Random Forest,0.0,308.82,SELL/HOLD,2026-05-25 22:04:44,
JPM,SMA Crossover,1.0,306.38,BUY,2026-05-25 22:04:44,
IBM,Random Forest,0.0,253.84,SELL/HOLD,2026-05-25 22:04:44,
NVDA,EMA Crossover,1.0,215.33,BUY,2026-05-26 22:18:08,
TSLA,Logistic Regression,0.0,426.01,SELL/HOLD,2026-05-26 22:18:08,
AAPL,EMA Crossover,1.0,308.82,BUY,2026-05-26 22:18:08,
JPM,SMA Crossover,1.0,306.38,BUY,2026-05-26 22:18:08,
IBM,Random Forest,0.0,253.84,SELL/HOLD,2026-05-26 22:18:08,
NVDA,EMA Crossover,1.0,214.86,BUY,2026-05-27 22:29:02,
TSLA,Logistic Regression,0.0,433.59,SELL/HOLD,2026-05-27 22:29:02,
AAPL,Random Forest,0.0,308.33,SELL/HOLD,2026-05-27 22:29:02,
JPM,SMA Crossover,1.0,306.74,BUY,2026-05-27 22:29:02,
IBM,Random Forest,0.0,250.69,SELL/HOLD,2026-05-27 22:29:02,
NVDA,EMA Crossover,1.0,212.6,BUY,2026-05-28 22:40:27,
TSLA,Logistic Regression,0.0,440.36,SELL/HOLD,2026-05-28 22:40:27,
AAPL,EMA Crossover,1.0,310.85,BUY,2026-05-28 22:40:27,
JPM,SMA Crossover,1.0,299.28,BUY,2026-05-28 22:40:27,
IBM,Random Forest,0.0,255.2,SELL/HOLD,2026-05-28 22:40:27,
NVDA,EMA Crossover,1.0,214.25,BUY,2026-05-29 22:26:35,
TSLA,Logistic Regression,0.0,442.1,SELL/HOLD,2026-05-29 22:26:35,
AAPL,EMA Crossover,1.0,312.51,BUY,2026-05-29 22:26:35,
JPM,SMA Crossover,1.0,296.73,BUY,2026-05-29 22:26:35,
IBM,Random Forest,0.0,264.22,SELL/HOLD,2026-05-29 22:26:35,
NVDA,EMA Crossover,1.0,211.14,BUY,2026-06-01 22:59:51,
TSLA,Logistic Regression,0.0,435.79,SELL/HOLD,2026-06-01 22:59:51,
AAPL,EMA Crossover,1.0,312.06,BUY,2026-06-01 22:59:51,
JPM,SMA Crossover,1.0,299.31,BUY,2026-06-01 22:59:51,
IBM,Random Forest,0.0,297.8,SELL/HOLD,2026-06-01 22:59:51,
NVDA,EMA Crossover,1.0,224.36,BUY,2026-06-02 22:59:30,
TSLA,Logistic Regression,1.0,415.88,BUY,2026-06-02 22:59:30,
AAPL,EMA Crossover,1.0,306.31,BUY,2026-06-02 22:59:30,
JPM,SMA Crossover,0.0,296.58,SELL/HOLD,2026-06-02 22:59:30,
IBM,Random Forest,0.0,320.42,SELL/HOLD,2026-06-02 22:59:30,
NVDA,EMA Crossover,1.0,222.82,BUY,2026-06-03 23:03:03,
TSLA,Logistic Regression,1.0,423.74,BUY,2026-06-03 23:03:03,
AAPL,Random Forest,0.0,315.2,SELL/HOLD,2026-06-03 23:03:03,
JPM,SMA Crossover,0.0,300.96,SELL/HOLD,2026-06-03 23:03:03,
IBM,Random Forest,0.0,329.23,SELL/HOLD,2026-06-03 23:03:03,
NVDA,EMA Crossover,1.0,214.75,BUY,2026-06-04 22:18:22,
TSLA,Logistic Regression,0.0,423.7,SELL/HOLD,2026-06-04 22:18:22,
AAPL,EMA Crossover,1.0,310.26,BUY,2026-06-04 22:18:22,
JPM,SMA Crossover,0.0,300.85,SELL/HOLD,2026-06-04 22:18:22,
IBM,Random Forest,0.0,305.63,SELL/HOLD,2026-06-04 22:18:22,
NVDA,EMA Crossover,1.0,218.66,BUY,2026-06-05 22:13:18,
TSLA,Logistic Regression,1.0,418.45,BUY,2026-06-05 22:13:18,
AAPL,Random Forest,0.0,311.23,SELL/HOLD,2026-06-05 22:13:18,
JPM,SMA Crossover,0.0,310.89,SELL/HOLD,2026-06-05 22:13:18,
IBM,Random Forest,0.0,301.77,SELL/HOLD,2026-06-05 22:13:18,
NVDA,EMA Crossover,1.0,205.1,BUY,2026-06-08 22:23:09,
TSLA,Logistic Regression,1.0,391.0,BUY,2026-06-08 22:23:09,
AAPL,Random Forest,0.0,307.34,SELL/HOLD,2026-06-08 22:23:09,
JPM,SMA Crossover,0.0,312.37,SELL/HOLD,2026-06-08 22:23:09,
IBM,Random Forest,0.0,284.84,SELL/HOLD,2026-06-08 22:23:09,
NVDA,EMA Crossover,1.0,208.64,BUY,2026-06-09 22:20:54,
TSLA,Logistic Regression,1.0,408.95,BUY,2026-06-09 22:20:54,
AAPL,Random Forest,0.0,301.54,SELL/HOLD,2026-06-09 22:20:54,
JPM,SMA Crossover,0.0,311.11,SELL/HOLD,2026-06-09 22:20:54,
IBM,Random Forest,1.0,280.82,BUY,2026-06-09 22:20:54,
NVDA,EMA Crossover,1.0,208.19,BUY,2026-06-10 22:50:31,
TSLA,Logistic Regression,0.0,396.68,SELL/HOLD,2026-06-10 22:50:31,
AAPL,EMA Crossover,1.0,290.55,BUY,2026-06-10 22:50:31,
JPM,SMA Crossover,0.0,312.7,SELL/HOLD,2026-06-10 22:50:31,
IBM,Bollinger Bands,0.0,277.49,SELL/HOLD,2026-06-10 22:50:31,
NVDA,EMA Crossover,1.0,200.42,BUY,2026-06-11 22:49:12,
TSLA,Logistic Regression,1.0,381.59,BUY,2026-06-11 22:49:12,
AAPL,EMA Crossover,1.0,291.58,BUY,2026-06-11 22:49:12,
JPM,SMA Crossover,0.0,309.14,SELL/HOLD,2026-06-11 22:49:12,
IBM,Random Forest,1.0,272.36,BUY,2026-06-11 22:49:12,
NVDA,EMA Crossover,1.0,204.87,BUY,2026-06-12 22:22:13,
TSLA,Logistic Regression,0.0,399.15,SELL/HOLD,2026-06-12 22:22:13,
AAPL,EMA Crossover,1.0,295.63,BUY,2026-06-12 22:22:13,
JPM,SMA Crossover,0.0,313.49,SELL/HOLD,2026-06-12 22:22:13,
IBM,Random Forest,1.0,274.85,BUY,2026-06-12 22:22:13,
NVDA,EMA Crossover,1.0,205.19,BUY,2026-06-15 23:00:15,
TSLA,Logistic Regression,0.0,406.43,SELL/HOLD,2026-06-15 23:00:15,
AAPL,EMA Crossover,1.0,291.13,BUY,2026-06-15 23:00:15,
JPM,SMA Crossover,0.0,320.72,SELL/HOLD,2026-06-15 23:00:15,
IBM,Random Forest,0.0,272.24,SELL/HOLD,2026-06-15 23:00:15,
NVDA,EMA Crossover,1.0,212.45,BUY,2026-06-16 22:51:56,
TSLA,Logistic Regression,0.0,411.15,SELL/HOLD,2026-06-16 22:51:56,
AAPL,EMA Crossover,1.0,296.42,BUY,2026-06-16 22:51:56,
JPM,SMA Crossover,0.0,319.4,SELL/HOLD,2026-06-16 22:51:56,
IBM,Random Forest,0.0,268.71,SELL/HOLD,2026-06-16 22:51:56,
NVDA,EMA Crossover,1.0,207.41,BUY,2026-06-17 22:44:21,
TSLA,Logistic Regression,0.0,404.66,SELL/HOLD,2026-06-17 22:44:21,
AAPL,EMA Crossover,1.0,299.24,BUY,2026-06-17 22:44:21,
JPM,SMA Crossover,0.0,331.14,SELL/HOLD,2026-06-17 22:44:21,
IBM,Random Forest,0.0,270.81,SELL/HOLD,2026-06-17 22:44:21,
NVDA,EMA Crossover,1.0,210.69,BUY,2026-06-19 22:01:31,
TSLA,Logistic Regression,0.0,400.49,SELL/HOLD,2026-06-19 22:01:31,
AAPL,EMA Crossover,1.0,298.01,BUY,2026-06-19 22:01:31,
JPM,SMA Crossover,1.0,325.22,BUY,2026-06-19 22:01:31,
IBM,Random Forest,1.0,249.1,BUY,2026-06-19 22:01:31,
NVDA,EMA Crossover,1.0,210.69,BUY,2026-06-22 22:44:25,
TSLA,Logistic Regression,1.0,400.49,BUY,2026-06-22 22:44:25,
AAPL,EMA Crossover,1.0,298.01,BUY,2026-06-22 22:44:25,
JPM,SMA Crossover,1.0,325.22,BUY,2026-06-22 22:44:25,
IBM,Random Forest,0.0,249.1,SELL/HOLD,2026-06-22 22:44:25,
NVDA,EMA Crossover,1.0,208.65,BUY,2026-06-23 22:09:29,
TSLA,Logistic Regression,0.0,405.05,SELL/HOLD,2026-06-23 22:09:29,
AAPL,EMA Crossover,1.0,297.01,BUY,2026-06-23 22:09:29,
JPM,SMA Crossover,1.0,331.48,BUY,2026-06-23 22:09:29,
IBM,Random Forest,0.0,252.22,SELL/HOLD,2026-06-23 22:09:29,
NVDA,EMA Crossover,0.0,200.04,SELL/HOLD,2026-06-24 22:13:42,
TSLA,Logistic Regression,1.0,381.61,BUY,2026-06-24 22:13:42,
AAPL,EMA Crossover,1.0,294.3,BUY,2026-06-24 22:13:42,
JPM,SMA Crossover,1.0,334.14,BUY,2026-06-24 22:13:42,
IBM,Random Forest,0.0,264.94,SELL/HOLD,2026-06-24 22:13:42,
NVDA,EMA Crossover,1.0,199.0,BUY,2026-06-25 22:18:36,
TSLA,Logistic Regression,1.0,375.53,BUY,2026-06-25 22:18:36,
AAPL,Random Forest,1.0,293.08,BUY,2026-06-25 22:18:36,
JPM,SMA Crossover,1.0,333.45,BUY,2026-06-25 22:18:36,
IBM,Random Forest,0.0,262.96,SELL/HOLD,2026-06-25 22:18:36,
NVDA,EMA Crossover,1.0,195.74,BUY,2026-06-26 22:08:46,
TSLA,Logistic Regression,1.0,375.12,BUY,2026-06-26 22:08:46,
AAPL,EMA Crossover,1.0,275.15,BUY,2026-06-26 22:08:46,
JPM,SMA Crossover,1.0,335.12,BUY,2026-06-26 22:08:46,
IBM,Random Forest,1.0,258.27,BUY,2026-06-26 22:08:46,
NVDA,Random Forest,1.0,192.53,BUY,2026-06-29 22:06:44,
TSLA,Logistic Regression,1.0,379.71,BUY,2026-06-29 22:06:44,
AAPL,Logistic Regression,1.0,283.78,BUY,2026-06-29 22:06:44,SIGNAL
JPM,SMA Crossover,1.0,329.05,BUY,2026-06-29 22:06:44,
IBM,Bollinger Bands,0.0,271.63,SELL/HOLD,2026-06-29 22:06:44,
NVDA,Random Forest,1.0,194.97,BUY,2026-06-30 22:13:59,
TSLA,Logistic Regression,0.0,411.84,SELL/HOLD,2026-06-30 22:13:59,SIGNAL
AAPL,Logistic Regression,1.0,281.74,BUY,2026-06-30 22:13:59,
JPM,SMA Crossover,1.0,329.39,BUY,2026-06-30 22:13:59,
IBM,Bollinger Bands,0.0,278.0,SELL/HOLD,2026-06-30 22:13:59,
NVDA,Random Forest,1.0,200.09,BUY,2026-07-01 22:15:50,
TSLA,Logistic Regression,0.0,420.6,SELL/HOLD,2026-07-01 22:15:50,
AAPL,Logistic Regression,1.0,289.36,BUY,2026-07-01 22:15:50,
JPM,SMA Crossover,1.0,327.33,BUY,2026-07-01 22:15:50,
IBM,Bollinger Bands,0.0,281.21,SELL/HOLD,2026-07-01 22:15:50,
NVDA,Random Forest,1.0,197.58,BUY,2026-07-02 22:03:41,
TSLA,Logistic Regression,0.0,425.3,SELL/HOLD,2026-07-02 22:03:41,
AAPL,Logistic Regression,1.0,294.38,BUY,2026-07-02 22:03:41,
JPM,SMA Crossover,1.0,334.07,BUY,2026-07-02 22:03:41,
IBM,Bollinger Bands,0.0,286.25,SELL/HOLD,2026-07-02 22:03:41,
NVDA,Random Forest,1.0,194.83,BUY,2026-07-03 22:02:06,
TSLA,Logistic Regression,1.0,393.45,BUY,2026-07-03 22:02:06,SIGNAL
AAPL,Logistic Regression,1.0,308.63,BUY,2026-07-03 22:02:06,
JPM,SMA Crossover,1.0,334.47,BUY,2026-07-03 22:02:06,
IBM,Bollinger Bands,0.0,289.52,SELL/HOLD,2026-07-03 22:02:06,
NVDA,Random Forest,1.0,194.83,BUY,2026-07-06 22:10:10,
TSLA,Logistic Regression,1.0,393.45,BUY,2026-07-06 22:10:10,
AAPL,Logistic Regression,1.0,308.63,BUY,2026-07-06 22:10:10,
JPM,SMA Crossover,1.0,334.47,BUY,2026-07-06 22:10:10,
IBM,Bollinger Bands,0.0,289.52,SELL/HOLD,2026-07-06 22:10:10,
NVDA,Random Forest,1.0,195.55,BUY,2026-07-07 22:08:57,
TSLA,Logistic Regression,0.0,419.77,SELL/HOLD,2026-07-07 22:08:57,SIGNAL
AAPL,Logistic Regression,1.0,312.66,BUY,2026-07-07 22:08:57,
JPM,SMA Crossover,1.0,337.72,BUY,2026-07-07 22:08:57,
IBM,Bollinger Bands,0.0,299.52,SELL/HOLD,2026-07-07 22:08:57,
NVDA,Random Forest,1.0,196.93,BUY,2026-07-08 22:02:19,
TSLA,Logistic Regression,1.0,402.9,BUY,2026-07-08 22:02:19,SIGNAL
AAPL,Logistic Regression,1.0,310.66,BUY,2026-07-08 22:02:19,
JPM,SMA Crossover,1.0,339.22,BUY,2026-07-08 22:02:19,
IBM,Bollinger Bands,0.0,306.13,SELL/HOLD,2026-07-08 22:02:19,
NVDA,Random Forest,0.0,204.12,SELL/HOLD,2026-07-09 22:18:12,SIGNAL
TSLA,Logistic Regression,1.0,394.06,BUY,2026-07-09 22:18:12,
AAPL,Logistic Regression,0.0,313.39,SELL/HOLD,2026-07-09 22:18:12,SIGNAL
JPM,SMA Crossover,1.0,330.62,BUY,2026-07-09 22:18:12,
IBM,Bollinger Bands,0.0,302.05,SELL/HOLD,2026-07-09 22:18:12,
NVDA,Random Forest,0.0,202.78,SELL/HOLD,2026-07-10 21:57:27,
TSLA,Logistic Regression,1.0,406.55,BUY,2026-07-10 21:57:27,
AAPL,Logistic Regression,0.0,316.22,SELL/HOLD,2026-07-10 21:57:27,
JPM,SMA Crossover,1.0,335.47,BUY,2026-07-10 21:57:27,
IBM,Bollinger Bands,0.0,295.3,SELL/HOLD,2026-07-10 21:57:27,
NVDA,Random Forest,0.0,210.96,SELL/HOLD,2026-07-13 21:52:23,
TSLA,Logistic Regression,1.0,407.76,BUY,2026-07-13 21:52:23,
AAPL,Logistic Regression,0.0,315.32,SELL/HOLD,2026-07-13 21:52:23,
JPM,SMA Crossover,1.0,336.47,BUY,2026-07-13 21:52:23,
IBM,Bollinger Bands,0.0,287.56,SELL/HOLD,2026-07-13 21:52:23,
NVDA,Random Forest,1.0,203.53,BUY,2026-07-14 21:54:34,SIGNAL
TSLA,Logistic Regression,1.0,394.76,BUY,2026-07-14 21:54:34,
AAPL,Logistic Regression,0.0,317.31,SELL/HOLD,2026-07-14 21:54:34,
JPM,SMA Crossover,1.0,334.53,BUY,2026-07-14 21:54:34,
IBM,Bollinger Bands,0.0,290.23,SELL/HOLD,2026-07-14 21:54:34,
NVDA,Random Forest,0.0,211.8,SELL/HOLD,2026-07-15 21:55:17,SIGNAL
TSLA,Logistic Regression,1.0,396.18,BUY,2026-07-15 21:55:17,
AAPL,Logistic Regression,0.0,314.86,SELL/HOLD,2026-07-15 21:55:17,
JPM,SMA Crossover,1.0,342.89,BUY,2026-07-15 21:55:17,
IBM,Bollinger Bands,1.0,217.07,BUY,2026-07-15 21:55:17,SIGNAL
NVDA,Random Forest,0.0,212.5,SELL/HOLD,2026-07-16 22:00:08,
TSLA,Logistic Regression,1.0,394.46,BUY,2026-07-16 22:00:08,
AAPL,Logistic Regression,0.0,327.5,SELL/HOLD,2026-07-16 22:00:08,
JPM,SMA Crossover,1.0,346.91,BUY,2026-07-16 22:00:08,
IBM,Bollinger Bands,1.0,211.2,BUY,2026-07-16 22:00:08,
NVDA,Random Forest,0.0,207.4,SELL/HOLD,2026-07-17 21:47:34,
TSLA,Logistic Regression,1.0,391.06,BUY,2026-07-17 21:47:34,
AAPL,Logistic Regression,0.0,333.26,SELL/HOLD,2026-07-17 21:47:34,
JPM,SMA Crossover,1.0,343.15,BUY,2026-07-17 21:47:34,
IBM,Bollinger Bands,0.0,219.05,SELL/HOLD,2026-07-17 21:47:34,SIGNAL
NVDA,Random Forest,1.0,202.81,BUY,2026-07-20 21:57:36,SIGNAL
TSLA,Logistic Regression,1.0,380.84,BUY,2026-07-20 21:57:36,
AAPL,Logistic Regression,1.0,333.74,BUY,2026-07-20 21:57:36,SIGNAL
JPM,SMA Crossover,1.0,341.1,BUY,2026-07-20 21:57:36,
IBM,Bollinger Bands,0.0,212.67,SELL/HOLD,2026-07-20 21:57:36,
NVDA,Random Forest,1.0,203.28,BUY,2026-07-21 22:00:46,
TSLA,Logistic Regression,0.0,369.57,SELL/HOLD,2026-07-21 22:00:46,STOP_LOSS
AAPL,Logistic Regression,1.0,326.59,BUY,2026-07-21 22:00:46,
JPM,SMA Crossover,1.0,338.87,BUY,2026-07-21 22:00:46,
IBM,Bollinger Bands,0.0,213.0,SELL/HOLD,2026-07-21 22:00:46,
NVDA,Random Forest,1.0,207.29,BUY,2026-07-22 22:01:32,
TSLA,Logistic Regression,1.0,378.93,BUY,2026-07-22 22:01:32,SIGNAL
AAPL,Logistic Regression,1.0,327.74,BUY,2026-07-22 22:01:32,
JPM,SMA Crossover,1.0,345.23,BUY,2026-07-22 22:01:32,
IBM,Bollinger Bands,0.0,210.5,SELL/HOLD,2026-07-22 22:01:32,
NVDA,Random Forest,0.0,212.06,SELL/HOLD,2026-07-23 22:01:05,SIGNAL
TSLA,Logistic Regression,1.0,374.01,BUY,2026-07-23 22:01:05,
AAPL,Logistic Regression,1.0,325.89,BUY,2026-07-23 22:01:05,
JPM,SMA Crossover,1.0,348.21,BUY,2026-07-23 22:01:05,
IBM,Bollinger Bands,0.0,205.77,SELL/HOLD,2026-07-23 22:01:05,
NVDA,Random Forest,0.0,208.76,SELL/HOLD,2026-07-24 22:01:16,
TSLA,Logistic Regression,1.0,319.69,BUY,2026-07-24 22:01:16,SIGNAL
AAPL,Logistic Regression,1.0,321.66,BUY,2026-07-24 22:01:16,
JPM,SMA Crossover,1.0,349.9,BUY,2026-07-24 22:01:16,
IBM,Bollinger Bands,0.0,206.65,SELL/HOLD,2026-07-24 22:01:16,
NVDA,Random Forest,0.0,206.84,SELL/HOLD,2026-07-27 22:02:18,
TSLA,Logistic Regression,1.0,313.03,BUY,2026-07-27 22:02:18,
AAPL,Logistic Regression,1.0,333.02,BUY,2026-07-27 22:02:18,
JPM,SMA Crossover,1.0,353.21,BUY,2026-07-27 22:02:18,
IBM,Bollinger Bands,0.0,214.19,SELL/HOLD,2026-07-27 22:02:18,
NVDA,Random Forest,1.0,196.51,BUY,2026-07-28 21:59:49,SIGNAL
TSLA,Logistic Regression,1.0,309.22,BUY,2026-07-28 21:59:49,
AAPL,Logistic Regression,0.0,336.91,SELL/HOLD,2026-07-28 21:59:49,SIGNAL
JPM,SMA Crossover,1.0,356.2,BUY,2026-07-28 21:59:49,
IBM,Bollinger Bands,0.0,216.28,SELL/HOLD,2026-07-28 21:59:49,
NVDA,Random Forest,1.0,197.01,BUY,2026-07-29 21:56:03,
TSLA,Logistic Regression,1.0,307.44,BUY,2026-07-29 21:56:03,
AAPL,Logistic Regression,1.0,340.08,BUY,2026-07-29 21:56:03,SIGNAL
JPM,SMA Crossover,1.0,357.31,BUY,2026-07-29 21:56:03,
IBM,Bollinger Bands,0.0,227.55,SELL/HOLD,2026-07-29 21:56:03,
NVDA,Random Forest,1.0,190.01,BUY,2026-07-30 22:08:06,
TSLA,Logistic Regression,1.0,298.32,BUY,2026-07-30 22:08:06,
AAPL,Logistic Regression,1.0,338.19,BUY,2026-07-30 22:08:06,
JPM,SMA Crossover,1.0,344.71,BUY,2026-07-30 22:08:06,
IBM,Bollinger Bands,0.0,226.44,SELL/HOLD,2026-07-30 22:08:06,
NVDA,Random Forest,1.0,195.04,BUY,2026-07-31 22:00:22,
TSLA,Logistic Regression,1.0,308.85,BUY,2026-07-31 22:00:22,
AAPL,Logistic Regression,1.0,333.43,BUY,2026-07-31 22:00:22,
JPM,SMA Crossover,1.0,350.85,BUY,2026-07-31 22:00:22,
IBM,Bollinger Bands,0.0,221.74,SELL/HOLD,2026-07-31 22:00:22,
NVDA,Random Forest,1.0,200.75,BUY,2026-08-03 22:04:11,
TSLA,Logistic Regression,1.0,311.21,BUY,2026-08-03 22:04:11,
AAPL,Logistic Regression,0.0,308.91,SELL/HOLD,2026-08-03 22:04:11,STOP_LOSS
JPM,SMA Crossover,1.0,351.79,BUY,2026-08-03 22:04:11,
IBM,Bollinger Bands,0.0,223.65,SELL/HOLD,2026-08-03 22:04:11,
